"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
498189;2023-01-09;"segunda-feira";"11:50:00";"GO";20;188;"POSSE";"Ultrapassagem Indevida";"Colisão frontal";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Declive";"Não";12;0;0;0;11;1;0;6;-14,41707;-46,454651;"SPRF-DF";"DEL02-DF";"UOP03-DEL02-DF"
498194;2023-01-09;"segunda-feira";"11:30:00";"RJ";101;268;"RIO BONITO";"Reação tardia ou ineficiente do condutor";"Engavetamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Reta";"Não";4;0;1;0;3;0;1;3;-22,7112997;-42,66922613;"SPRF-RJ";"DEL02-RJ";"UOP03-DEL02-RJ"
498196;2023-01-09;"segunda-feira";"05:50:00";"MA";10;368;"ITINGA DO MARANHAO";"Transitar na contramão";"Colisão lateral sentido oposto";"Sem Vítimas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta;Declive";"Não";2;0;0;0;2;0;0;2;-4,531491;-47,501308;"SPRF-MA";"DEL04-MA";"UOP03-DEL04-MA"
498199;2023-01-09;"segunda-feira";"10:45:00";"RO";364;436;"JARU";"Condutor deixou de manter distância do veículo da frente";"Engavetamento";"Sem Vítimas";"Pleno dia";"Crescente";"Chuva";"Simples";"Aclive";"Não";3;0;0;0;3;0;0;3;-10,37739925;-62,55303028;"SPRF-RO";"DEL03-RO";"UOP02-DEL03-RO"
498201;2023-01-09;"segunda-feira";"12:00:00";"BA";101;715;"EUNAPOLIS";"Ausência de reação do condutor";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Simples";"Reta;Interseção de Vias";"Sim";2;0;0;1;1;0;1;2;-16,34781458;-39,58236694;"SPRF-BA";"DEL09-BA";"UOP01-DEL09-BA"
498205;2023-01-09;"segunda-feira";"12:20:00";"MG";381;794;"SAO GONCALO DO SAPUCAI";"Reação tardia ou ineficiente do condutor";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Dupla";"Reta";"Não";2;0;1;0;0;1;1;2;-21,92913899;-45,61170907;"SPRF-MG";"DEL16-MG";"UOP02-DEL16-MG"
498206;2023-01-09;"segunda-feira";"13:00:00";"GO";60;97;"ANAPOLIS";"Ausência de reação do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";1;0;1;0;0;0;1;1;-16,3774;-48,9483;"SPRF-GO";"DEL02-GO";"UOP01-DEL02-GO"
498212;2023-01-09;"segunda-feira";"13:05:00";"RJ";101;166;"MACAE";"Manobra de mudança de faixa";"Colisão lateral sentido oposto";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Curva";"Não";4;0;1;0;2;3;1;6;-22,32707873;-41,91117127;"SPRF-RJ";"DEL08-RJ";"UOP04-DEL08-RJ"
498213;2023-01-09;"segunda-feira";"13:30:00";"MS";262;766;"CORUMBA";"Reação tardia ou ineficiente do condutor";"Saída de leito carroçável";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Simples";"Reta";"Não";2;0;1;0;0;2;1;3;-19,09182008;-57,62211036;"SPRF-MS";"DEL03-MS";"UOP03-DEL03-MS"
498226;2023-01-09;"segunda-feira";"15:00:00";"RJ";116;312;"RESENDE";"Manobra de mudança de faixa";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Garoa/Chuvisco";"Dupla";"Curva";"Não";5;0;3;0;1;1;3;3;-22,46068623;-44,45262504;"SPRF-RJ";"DEL07-RJ";"UOP02-DEL07-RJ"
498230;2023-01-09;"segunda-feira";"11:30:00";"RJ";40;35,3;"AREAL";"Ausência de sinalização";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Em Obras";"Não";15;0;3;0;10;2;3;7;-22,20877957;-43,13804875;"SPRF-RJ";"DEL05-RJ";"UOP02-DEL05-RJ"
498234;2023-01-09;"segunda-feira";"14:55:00";"BA";116;6,5;"VITORIA DA CONQUISTA";"Manobra de mudança de faixa";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Ignorado";"Simples";"Reta;Aclive";"Sim";3;0;1;0;1;1;1;3;-14,832344;-40,886941;"SPRF-BA";"DEL08-BA";"UOP01-DEL08-BA"
498235;2023-01-09;"segunda-feira";"15:30:00";"SP";116;230,5;"SAO PAULO";"Frear bruscamente";"Engavetamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta;Aclive";"Sim";5;0;2;0;3;0;2;4;-23,52251783;-46,5855702;"SPRF-SP";"DEL01-SP";"UOP01-DEL01-SP"
498242;2023-01-09;"segunda-feira";"15:45:00";"GO";153;514,5;"APARECIDA DE GOIANIA";"Desrespeitar a preferência no cruzamento";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Múltipla";"Reta;Interseção de Vias;Declive";"Sim";4;0;2;0;1;1;2;3;-16,82688266;-49,24246442;"SPRF-GO";"DEL01-GO";"UOP03-DEL01-GO"
